subject,condition,post_theta_abs,post_alpha_abs,post_beta_abs,post_alpha_dB,post_theta_dB,post_theta_rel,post_alpha_rel,occ_alpha_abs,Cz_alpha_abs,Cz_theta_abs,alpha_theta_ratio,theta_beta_ratio,post_total_abs,total_abs_global,total_abs_cz
sub-23,deprived,2.505743282934034,1.7711862880480371,3.0712209949546176,2.4826424138010577,3.9893657483204876,0.12057034676720925,0.08703655716212068,1.7953923027086611,1.4288691797742357,2.459091474206434,0.7068506578910643,0.8158785339936309,7.348150565936689,25.71747827422755,13.534337289262735
sub-24,rested,1.656518260351482,1.3919209253707259,2.1761968185984033,1.4361456383014377,2.1919622761681765,0.13908871271890758,0.11274510363826193,1.806581232311771,0.7302266793734232,2.1407579098446017,0.8402689898965474,0.7611987326671931,5.224636004320612,16.490547443768445,9.024368528716973
sub-24,deprived,2.5158585065088297,2.67863397226206,3.8290268452535807,4.279133725528545,4.0068621246067275,0.11274447539766305,0.10713378268917349,3.729014615035579,1.429772863385295,3.2548710049638765,1.064699769614273,0.657049064471162,9.02351932402447,28.108605660612184,15.248653203895794
sub-25,rested,3.7944158496174,3.2681184172639575,7.799928734214618,5.142977844064505,5.791449257348442,0.13084235832002045,0.1163922447203262,3.634003615045091,1.385259647136548,2.6855898646493035,0.8612968495779106,0.48646801514648236,14.862463001095975,36.448289855800276,15.413951687825286
sub-25,deprived,4.817935483241641,5.765203793046605,40.992720979835376,7.608146636916508,6.828609800832986,0.08582839448671052,0.0897103663180369,6.95343943258044,1.949191960419475,3.5553733147377664,1.196612908807076,0.11753148773928959,51.57586025612362,76.12541039724194,21.73850307348775
sub-26,rested,2.706900723113379,1.5550187290132889,2.2471226548509655,1.9173562413979475,4.324723281034693,0.14112507810356337,0.08052848239917908,1.927594880796316,0.8949772362468537,2.3121541867949906,0.5744646324615713,1.2046074642476101,6.509042106977633,23.92299140426556,10.496555296853815
sub-26,deprived,2.8832757768670443,1.550792355562897,3.0856057389917235,1.905536515400772,4.598861833676267,0.12080748319273911,0.06555599296457838,1.689796044330262,0.821408744619271,1.7760868207656595,0.5378577963319144,0.9344277982219484,7.519673871421665,32.31611339489187,10.954225979956517
sub-27,rested,5.885526860464958,4.911383367998674,5.564574961508109,6.9120383519211215,7.697853460836061,0.1498212018810049,0.12032222126150269,6.664012920672654,1.7782159477446897,3.8564797150736365,0.8344849126405437,1.0576777024619082,16.36148518997174,34.22692550561372,16.341220512523122
sub-27,deprived,5.843556594107164,5.044718371169373,5.382082622726779,7.028369261207814,7.6667725448362765,0.14127252551639705,0.11908445249721465,5.921346414874472,3.4136355380785903,4.685273674067865,0.863295886662009,1.0857426397416738,16.270357588003314,40.20312779363495,19.410017726495862
sub-28,rested,3.147133189780553,4.037134082977379,8.132234466392191,6.060731736189291,4.9791512307296735,0.1093776745197087,0.11225126924540314,6.397917930946608,0.9101493842208628,2.3966588464080996,1.2827973395237477,0.38699489086137434,15.316501739150123,59.4654494962068,11.528327549213037
